POS,ODR,POF,ideal_prob
0.013,0.013,0.987,0.0
0.011,0.011,0.989,0.0
0.01,0.01,0.99,0.0
0.011,0.011,0.989,0.0
0.118,0.133,0.882,0.0
0.125,0.143,0.875,0.0
0.127,0.145,0.873,0.0
0.123,0.14,0.877,0.0
0.119,0.135,0.881,0.0
0.135,0.156,0.865,0.0
0.125,0.143,0.875,0.0
0.128,0.147,0.872,0.0
0.425,0.74,0.575,0.0
0.575,1.351,0.425,0.0
0.221,0.284,0.779,0.0
0.225,0.29,0.775,0.0
0.215,0.274,0.785,0.0
0.226,0.291,0.774,0.0
0.028,0.029,0.972,0.0
0.03,0.031,0.97,0.0
0.027,0.028,0.973,0.0
0.027,0.028,0.973,0.0
0.195,0.243,0.805,0.0
0.198,0.247,0.802,0.0
0.2,0.25,0.8,0.0
0.05,0.052,0.95,0.0
0.198,0.247,0.802,0.0
0.053,0.056,0.947,0.0
0.05,0.053,0.95,0.0
0.051,0.054,0.949,0.0
0.064,0.069,0.936,0.0
0.19,0.234,0.81,0.0
0.186,0.229,0.814,0.0
0.061,0.064,0.939,0.0
0.183,0.224,0.817,0.0
0.189,0.234,0.811,0.0
0.06,0.063,0.94,0.0
0.059,0.062,0.941,0.0
0.847,5.543,0.153,0.0
0.099,0.109,0.901,0.0
0.004,0.004,0.996,1.0
0.014,0.014,0.986,1.0
0.021,0.021,0.979,1.0
0.009,0.009,0.991,1.0
0.005,0.005,0.995,1.0
0.001,0.001,0.999,1.0
0.848,5.565,0.152,0.0
0.152,0.18,0.848,0.0
0.806,4.159,0.194,0.0
0.134,0.155,0.866,0.0
0.009,0.009,0.991,1.0
0.021,0.021,0.979,1.0
0.003,0.003,0.997,1.0
0.019,0.019,0.981,1.0
0.003,0.003,0.997,1.0
0.003,0.003,0.997,1.0
0.118,0.134,0.882,0.0
0.126,0.144,0.874,0.0
0.125,0.143,0.875,0.0
0.119,0.135,0.881,0.0
0.132,0.153,0.868,0.0
0.131,0.151,0.869,0.0
0.124,0.142,0.876,0.0
0.128,0.147,0.872,0.0
0.219,0.28,0.781,0.0
0.228,0.295,0.772,0.0
0.221,0.284,0.779,0.0
0.025,0.026,0.975,0.0
0.227,0.293,0.773,0.0
0.022,0.022,0.978,0.0
0.024,0.025,0.976,0.0
0.025,0.026,0.975,0.0
0.176,0.214,0.824,0.0
0.166,0.198,0.834,0.0
0.079,0.085,0.921,0.0
0.176,0.214,0.824,0.0
0.173,0.209,0.827,0.0
0.078,0.084,0.922,0.0
0.076,0.082,0.924,0.0
0.074,0.08,0.926,0.0
0.147,0.172,0.853,0.0
0.156,0.185,0.844,0.0
0.147,0.173,0.853,0.0
0.151,0.178,0.849,0.0
0.101,0.112,0.899,0.0
0.097,0.108,0.903,0.0
0.099,0.11,0.901,0.0
0.099,0.11,0.901,0.0
0.194,0.241,0.806,0.0
0.212,0.27,0.788,0.0
0.213,0.271,0.787,0.0
0.039,0.041,0.961,0.0
0.202,0.253,0.798,0.0
0.045,0.048,0.955,0.0
0.046,0.048,0.954,0.0
0.049,0.051,0.951,0.0
0.335,0.505,0.665,0.0
0.665,1.981,0.335,0.0
0.238,0.312,0.762,0.0
0.235,0.308,0.765,0.0
0.237,0.311,0.763,0.0
0.234,0.306,0.766,0.0
0.015,0.015,0.985,0.0
0.013,0.013,0.987,0.0
0.015,0.015,0.985,0.0
0.011,0.011,0.989,0.0
